Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00030938336056912","-9,89895665437501E-13","0,0229511892881233",0,0,0,"0,225814419604843","5,65453718592828E-05","5,00162232371705E-16","-1,38639831470138E-06","0,000101241328443196","-3,18870100704921E-15","8,47747908239031E-05",0,0,0,0,0,0,package://manip_description/meshes/base_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/base_link.STL,,dummy_X540_std-1,Sistema de coordenadas1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"0,010403379929175","1,63335446591584E-08","0,0169657675518438",0,0,0,"0,0289102664622999","2,12284942933575E-05","2,48129475489142E-12","-1,76897405605609E-06","1,25993311294143E-05","3,2054762687646E-12","2,59552674841784E-05",0,0,0,0,0,0,package://manip_description/meshes/link_1.STL,"0,996078431372549","0,996078431372549",1,1,0,0,0,0,0,0,package://manip_description/meshes/link_1.STL,,Frame L 2019-10-02-4,Sistema de coordenadas2,Eixo2,joint_1,revolute,"0,0155",0,"0,04515",0,0,0,base_link,0,0,1,8,5,"-3,14","3,14",,,,,,,,
link_2,"0,0763705857165563","0,000254475982597022","0,00808212627192917",0,0,0,"0,611796741662792","0,000193142254231562","4,37085471306953E-07","-1,72353751616987E-05","0,000387146626280563","-1,13959846344025E-12","0,000310532195206607",0,0,0,0,0,0,package://manip_description/meshes/link_2.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_2.STL,,dummy_X540_idle-1;Frame2 2019-05-02-1;Espa_X_E7ador-2;dummy_X540_std-2;Frame2 2019-05-02-2;Espa_X_E7ador-1,Sistema de coordenadas3,Eixo3,joint_2,revolute,"0,048",0,"0,02285","3,1416","-1,1781","-3,1416",link_1,0,1,0,8,5,"-3,14","3,14",,,,,,,,
link_3,"0,0169657676446836","1,64819090528456E-08","-0,0104033800071373",0,0,0,"0,0289102660424069","2,5955267230398E-05","3,22328296007298E-12","1,76897404833607E-06","1,25993310604571E-05","-2,56726778703582E-12","2,12284940766909E-05",0,0,0,0,0,0,package://manip_description/meshes/link_3.STL,"0,996078431372549","0,996078431372549",1,1,0,0,0,0,0,0,package://manip_description/meshes/link_3.STL,,Frame L 2019-10-02-5,Sistema de coordenadas4,Eixo4,joint_3,revolute,"0,1439",0,0,0,0,0,link_2,1,0,0,8,5,"-3,14","3,14",,,,,,,,
link_4,"0,0763705857419602","-0,00025447598295664","0,00808212650131321",0,0,0,"0,611796742118779","0,000193142254252889","-4,37085476272942E-07","-1,72353755052685E-05","0,000387146626356831","-1,13953084591342E-12","0,000310532195285594",0,0,0,0,0,0,package://manip_description/meshes/link_4.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_4.STL,,dummy_X540_idle-2;Frame2 2019-05-02-3;Frame2 2019-05-02-4;dummy_X540_std-3;Espa_X_E7ador-4;Espa_X_E7ador-3,Sistema de coordenadas5,Eixo5,joint_4,revolute,"0,02285",0,"-0,048",0,"-0,3927",0,link_3,0,-1,0,8,5,"-3,14","3,14",,,,,,,,
link_5,"0,0113429838803915","-3,46944695195361E-18",0,0,0,0,"0,0368976416562371","1,95927087211338E-05","7,26329421268603E-21","-2,5410988417629E-21","7,36984687037621E-06","8,60646127431738E-21","2,02402124370273E-05",0,0,0,0,0,0,package://manip_description/meshes/link_5.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_5.STL,,Frame 2018-01-19-3,Sistema de coordenadas6,Eixo6,joint_5,revolute,"0,1439",0,0,0,0,0,link_4,1,0,0,8,5,"-3,14","3,14",,,,,,,,
link_6,"0,0386040770329412","-0,000322583154717528","0,000293719089379529",0,0,0,"0,482627734525522","0,000146386226397184","-4,37085473836754E-07","-1,5900787088928E-13","0,000125206462596505","-1,1391259066856E-12","0,000181710835049005",0,0,0,0,0,0,package://manip_description/meshes/link_6.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_6.STL,,dummy_X540_idle-3;Pulso 2018-01-26-1;X-430_IDLE-2;X-430_IDLE-1,Sistema de coordenadas7,Eixo7,joint_6,revolute,"0,03885",0,0,0,"-0,3927",0,link_5,0,-1,0,8,5,"-3,14","3,14",,,,,,,,
link_7,"0,0224717905842797","0,025995105661012","-1,86855826922461E-08",0,0,0,"0,0392347304267543","1,12762059938717E-05","2,39164603983455E-07","-1,49908527899727E-12","1,06667583466197E-05","1,51683951155461E-12","3,59815370093277E-06",0,0,0,0,0,0,package://manip_description/meshes/link_7.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_7.STL,,Frame430Gripper 2018-01-26-2;espaçador inclinado-1,Sistema de coordenadas8,Eixo8,joint_7,revolute,"0,061","0,02125",0,0,0,0,link_6,0,0,1,8,5,"-3,14","3,14",,,,,,,,
link_end7,"0,000799651866160656","0,0665118576297725","0,000157118505166365",0,0,0,"0,0535201883186937","2,29035041365173E-05","-1,8272694134383E-05","-1,47284953313777E-11","5,672487088308E-05","-6,47534317160686E-12","5,94928785230653E-05",0,0,0,0,0,0,package://manip_description/meshes/link_end7.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_end7.STL,,gripperfinrayflex1-4mmunico 2019-06-10-2,Sistema de coordenadas10,,joint_end7,fixed,"0,066179","-0,02125",0,0,0,0,link_7,0,0,0,,,,,,,,,,,,
link_8,"0,0224717906136957","-0,0259951056906864","1,87048285194003E-08",0,0,0,"0,0392347308783591","1,1276206158873E-05","-2,39164622388127E-07","1,41986509577831E-12","1,06667584951978E-05","1,37910726152201E-12","3,5981537434786E-06",0,0,0,0,0,0,package://manip_description/meshes/link_8.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_8.STL,,Frame430Gripper 2018-01-26-1;espaçador inclinado-2,Sistema de coordenadas9,Eixo9,joint_8,revolute,"0,061","-0,02125",0,0,0,0,link_6,0,0,1,8,5,"-3,14","3,14",,,,,,,,
link_end8,"0,000799664295637492","-0,0665118622668557","0,00015710063142943",0,0,0,"0,0535202013033793","2,29035009049597E-05","1,82727115379582E-05","3,07510207373307E-11","5,67249052626609E-05","-1,11321771779834E-11","5,94929088813273E-05",0,0,0,0,0,0,package://manip_description/meshes/link_end8.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://manip_description/meshes/link_end8.STL,,gripperfinrayflex1-4mmunico 2019-06-10-1,Sistema de coordenadas10,Axis_joint_end8,joint_end8,fixed,"0,0661786041848968","0,0212499999999973",0,0,0,0,link_8,0,0,0,,,,,,,,,,,,
